ExperimentName,subject,Session,Procedure,Trial,Directed,I_NMG_ZScorePrime,I_NMG_ZscoreTarget,I_ZScorePrime,I_ZScoreTarget,ItemNumber,LogHalPrime,LogHalTarget,LogP,MeanLDTZ,MeanLength,MeanLogF,MeanNMGZ,pathlength,prime_word,Stimuli1,target_word,TargetResponse.RESP[Trial],TargetResponse.RT[Trial],Undirected,TargetAccuracy,RTRecogniseTarget
NetworksDemasking_SingleListLongDurations,1,1,S1,237,6,-0.781,-0.427,-0.135,-0.218,A1,8.196,8.514,28.280085,-0.1765,8,8.355,-0.604,1,OUTRAGEOUS,1,ABSURD,absurd{SPACE},1704,1,1,1343
NetworksDemasking_SingleListLongDurations,1,1,S1,239,4,-0.496,0.121,-0.524,-0.414,A2,10.593,6.952,18.741921,-0.469,7.5,8.7725,-0.1875,3,REVIEW,2,ADJECTIVE,adjective{SPACE},2170,3,1,1844
NetworksDemasking_SingleListLongDurations,1,1,S1,125,2,-0.545,-0.687,-0.524,-0.359,A3,8.626,6.965,8.204051,-0.4415,4.5,7.7955,-0.616,1,LUST,3,ADORE,adore{SPACE},1015,2,1,1041
NetworksDemasking_SingleListLongDurations,1,1,S1,192,2,-0.201,-0.644,-0.196,-0.748,A4,8.9,12.428,11.530092,-0.472,5.5,10.664,-0.4225,2,ENGAGE,4,AGAIN,again{SPACE},1865,2,1,1558
NetworksDemasking_SingleListLongDurations,1,1,S1,224,4,-0.319,-0.449,-0.181,-0.402,A5,6.494,7.834,15.125296,-0.2915,8,7.164,-0.384,6,FORESIGHT,5,ALGEBRA,algebra{SPACE},1735,3,1,1757
NetworksDemasking_SingleListLongDurations,1,1,S1,52,5,-0.236,-0.692,-0.492,-0.606,A6,7.712,8.977,21.317842,-0.549,5.5,8.3445,-0.464,15,MAGNET,6,ALTER,alter{SPACE},1159,4,1,2089
NetworksDemasking_SingleListLongDurations,1,1,S1,16,4,-0.422,-0.337,-0.484,0.014,A7,7.594,7.244,19.03707,-0.235,6.5,7.419,-0.3795,6,FUSS,7,AMBULANCE,ambulance{SPACE},2619,3,1,1611
NetworksDemasking_SingleListLongDurations,1,1,S1,135,4,-0.641,-0.405,-0.609,-0.666,A8,11.247,7.925,23.135463,-0.6375,6.5,9.586,-0.523,6,RELEASE,8,ANCHOR,anchor{SPACE},1226,2,1,1844
NetworksDemasking_SingleListLongDurations,1,1,S1,218,2,-0.275,-0.64,-0.409,-0.735,A9,8.821,11.601,9.472488,-0.572,6.5,10.211,-0.4575,2,PRECISE,9,ANSWER,answer{SPACE},1085,2,1,1580
NetworksDemasking_SingleListLongDurations,1,1,S1,19,2,-0.434,-0.522,-0.182,-0.515,A10,7.368,9.101,5.813069,-0.3485,8,8.2345,-0.478,1,MANSION,10,APARTMENT,apartment{SPACE},2258,2,1,1218
NetworksDemasking_SingleListLongDurations,1,1,S1,122,5,-0.629,-0.466,-0.666,-0.458,A11,9.547,9.473,22.787842,-0.562,7.5,9.51,-0.5475,2,NASTY,11,APPEARANCE,appearance{SPACE},2352,2,1,1749
